subset	geo_id	pathogen	y_col	lag_weeks	n_pairs	train_start_week_end	train_end_week_end	corr_y_t_y_t_minus_lag	notes
geo_matched_state	AK	COVID-19	hosp_admissions_per_100k	1	117	2023-01-07	2025-04-05	0.9686412222609637	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AK	COVID-19	hosp_admissions_per_100k	2	116	2023-01-07	2025-04-05	0.9170805672107695	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AK	COVID-19	hosp_admissions_per_100k	3	115	2023-01-07	2025-04-05	0.8628802896194353	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AK	COVID-19	hosp_admissions_per_100k	4	114	2023-01-07	2025-04-05	0.807819975094597	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AK	Influenza	hosp_admissions_per_100k	1	97	2023-05-27	2025-04-05	0.9668517655928601	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AK	Influenza	hosp_admissions_per_100k	2	96	2023-05-27	2025-04-05	0.9122401091046581	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AK	Influenza	hosp_admissions_per_100k	3	95	2023-05-27	2025-04-05	0.8546915129346336	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AK	Influenza	hosp_admissions_per_100k	4	94	2023-05-27	2025-04-05	0.7960758938885396	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AK	RSV	hosp_admissions_per_100k	1	97	2023-05-27	2025-04-05	0.9881181420955418	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AK	RSV	hosp_admissions_per_100k	2	96	2023-05-27	2025-04-05	0.9721352613709296	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AK	RSV	hosp_admissions_per_100k	3	95	2023-05-27	2025-04-05	0.9501996854416969	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AK	RSV	hosp_admissions_per_100k	4	94	2023-05-27	2025-04-05	0.9193637486969439	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	COVID-19	hosp_admissions_per_100k	1	117	2023-01-07	2025-04-05	0.971170605769918	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	COVID-19	hosp_admissions_per_100k	2	116	2023-01-07	2025-04-05	0.9308160990221247	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	COVID-19	hosp_admissions_per_100k	3	115	2023-01-07	2025-04-05	0.8860591245309901	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	COVID-19	hosp_admissions_per_100k	4	114	2023-01-07	2025-04-05	0.8363063885839795	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	Influenza	hosp_admissions_per_100k	1	117	2023-01-07	2025-04-05	0.9711135356840959	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	Influenza	hosp_admissions_per_100k	2	116	2023-01-07	2025-04-05	0.9306895551151007	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	Influenza	hosp_admissions_per_100k	3	115	2023-01-07	2025-04-05	0.8858858433285182	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	Influenza	hosp_admissions_per_100k	4	114	2023-01-07	2025-04-05	0.8360800906284683	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	RSV	hosp_admissions_per_100k	1	117	2023-01-07	2025-04-05	0.9875374562801801	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	RSV	hosp_admissions_per_100k	2	116	2023-01-07	2025-04-05	0.9659998282454981	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	RSV	hosp_admissions_per_100k	3	115	2023-01-07	2025-04-05	0.9402147866267438	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AL	RSV	hosp_admissions_per_100k	4	114	2023-01-07	2025-04-05	0.9110430678850172	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	COVID-19	hosp_admissions_per_100k	1	117	2023-01-07	2025-04-05	0.967831511384797	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	COVID-19	hosp_admissions_per_100k	2	116	2023-01-07	2025-04-05	0.9194699651584528	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	COVID-19	hosp_admissions_per_100k	3	115	2023-01-07	2025-04-05	0.8629296626857121	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	COVID-19	hosp_admissions_per_100k	4	114	2023-01-07	2025-04-05	0.8056146542697145	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	Influenza	hosp_admissions_per_100k	1	100	2023-04-29	2025-04-05	0.9659854695041817	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	Influenza	hosp_admissions_per_100k	2	99	2023-04-29	2025-04-05	0.9147285688422738	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	Influenza	hosp_admissions_per_100k	3	98	2023-04-29	2025-04-05	0.8547563492702155	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	Influenza	hosp_admissions_per_100k	4	97	2023-04-29	2025-04-05	0.7938066554868614	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	RSV	hosp_admissions_per_100k	1	101	2023-04-29	2025-04-05	0.9936447880908457	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	RSV	hosp_admissions_per_100k	2	100	2023-04-29	2025-04-05	0.9786931127291988	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	RSV	hosp_admissions_per_100k	3	99	2023-04-29	2025-04-05	0.9579521528948312	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AR	RSV	hosp_admissions_per_100k	4	98	2023-04-29	2025-04-05	0.931645804865014	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	COVID-19	hosp_admissions_per_100k	1	117	2023-01-07	2025-04-05	0.9744942541183492	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	COVID-19	hosp_admissions_per_100k	2	116	2023-01-07	2025-04-05	0.9202195306833224	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	COVID-19	hosp_admissions_per_100k	3	115	2023-01-07	2025-04-05	0.8565610843387803	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	COVID-19	hosp_admissions_per_100k	4	114	2023-01-07	2025-04-05	0.7923962345385805	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	Influenza	hosp_admissions_per_100k	1	76	2023-10-07	2025-04-05	0.9717134869198345	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	Influenza	hosp_admissions_per_100k	2	75	2023-10-07	2025-04-05	0.9104057425698507	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	Influenza	hosp_admissions_per_100k	3	74	2023-10-07	2025-04-05	0.8377096069487026	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	Influenza	hosp_admissions_per_100k	4	73	2023-10-07	2025-04-05	0.761690735840361	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	RSV	hosp_admissions_per_100k	1	76	2023-10-07	2025-04-05	0.993019364803048	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	RSV	hosp_admissions_per_100k	2	75	2023-10-07	2025-04-05	0.9768871014310463	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	RSV	hosp_admissions_per_100k	3	74	2023-10-07	2025-04-05	0.955346421767398	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	AZ	RSV	hosp_admissions_per_100k	4	73	2023-10-07	2025-04-05	0.9287181191864852	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	COVID-19	hosp_admissions_per_100k	1	117	2023-01-07	2025-04-05	0.9668463733256596	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	COVID-19	hosp_admissions_per_100k	2	116	2023-01-07	2025-04-05	0.9235217955674437	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	COVID-19	hosp_admissions_per_100k	3	115	2023-01-07	2025-04-05	0.8676032517382765	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	COVID-19	hosp_admissions_per_100k	4	114	2023-01-07	2025-04-05	0.80635752330004	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	Influenza	hosp_admissions_per_100k	1	117	2023-01-07	2025-04-05	0.9666636878765548	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	Influenza	hosp_admissions_per_100k	2	116	2023-01-07	2025-04-05	0.9231414915383126	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	Influenza	hosp_admissions_per_100k	3	115	2023-01-07	2025-04-05	0.8670832065061573	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	Influenza	hosp_admissions_per_100k	4	114	2023-01-07	2025-04-05	0.8056380233434638	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	RSV	hosp_admissions_per_100k	1	117	2023-01-07	2025-04-05	0.9931938794204476	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	RSV	hosp_admissions_per_100k	2	116	2023-01-07	2025-04-05	0.9801354840510254	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	RSV	hosp_admissions_per_100k	3	115	2023-01-07	2025-04-05	0.9645422852237419	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CA	RSV	hosp_admissions_per_100k	4	114	2023-01-07	2025-04-05	0.9420409943925703	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CO	COVID-19	hosp_admissions_per_100k	1	117	2023-01-07	2025-04-05	0.9631730595979574	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CO	COVID-19	hosp_admissions_per_100k	2	116	2023-01-07	2025-04-05	0.9119594148232166	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CO	COVID-19	hosp_admissions_per_100k	3	115	2023-01-07	2025-04-05	0.8527380330482948	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CO	COVID-19	hosp_admissions_per_100k	4	114	2023-01-07	2025-04-05	0.7864949029688679	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CO	Influenza	hosp_admissions_per_100k	1	117	2023-01-07	2025-04-05	0.9630771153898615	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CO	Influenza	hosp_admissions_per_100k	2	116	2023-01-07	2025-04-05	0.9117492381420803	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CO	Influenza	hosp_admissions_per_100k	3	115	2023-01-07	2025-04-05	0.8524547708489952	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CO	Influenza	hosp_admissions_per_100k	4	114	2023-01-07	2025-04-05	0.7861279417578575	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
geo_matched_state	CO	RSV	hosp_admissions_per_100k	1	116	2023-01-07	2025-04-05	0.992789167526107	Pearson corr between admissions_t and admissions_{t-lag} within the pre-holdout training pool.
